,Unnamed: 0.1,Unnamed: 0,local_time,evaluator,subject,Grade exercise 'a' (ex.: 0.3),Grade exercise 'b' (ex.: 0.3),Grade exercise 'c' (ex.: 0.3),Total score (ex.:2.5),comments,student_name
13,3,3,2021-07-29 16:38:32.462,Fernando Soares de Jesus,Geografia,0.5,0.5,1.0,2.0,"Na alternativa b), para o aproveitamento total era necessário apontar a técnica de triangulação ou a necessidade de pelo menos 3 satélites para inferência das localizações.",Sharon Williams
14,4,4,2021-08-02 15:54:52.304,Rafaela (MTM C) e Matheus (MTM B),Matemática,1.5,0.7,,2.1,Pequeno erro ao calcular a área do quadrilátero e esqueceu de colocar unidade na resposta da área. Excelente raciocínio para resolução de toda a questão. Parabéns!,Sharon Williams
15,5,5,2021-08-03 08:13:54.114,Ana Júlia,Física,0.9,0.2,0.5,1.6,"Alice, sua resposta para a alternativa a) está correta, mas é importante perceber que a gente também tem um MRU (justamente nos momentos em que você disse que a velocidade era constante). Isso foi o que te atrapalhou um pouquinho na c), o seu cálculo está correto para um MRUV, mas só temos MRUV de 0 a 10 segundos. Entre 10 e 20 segundos, temos um MRU. Portanto, o certo seria calcular o deslocamento no MRUV (exatamente como você fez, só que com t = 10 s) e somar com o deslocamento no MRU (s = 0 + v*t). Mas você fez a parte mais difícil, que é calcular o MRUV, então parabéns! Siga firme nos estudos!",Sharon Williams
16,6,6,2021-07-29 16:39:56.497,Fernando Soares de Jesus,Geografia,0.0,0.0,1.0,1.0,,Madison Abbott
17,7,7,2021-08-02 17:55:20.308,Rafaela MTM C,Matemática,0.0,0.0,,0.0,,Madison Abbott
18,8,8,2021-08-03 10:06:47.745,Ana Júlia,Física,0.4,0.2,0.0,0.6,"Oi, Ana! Se puder, venha na monitoria de física A ou mande mensagem pra gente falar sobre essa questão.",Madison Abbott
19,9,9,2021-07-29 16:41:14.851,Fernando Soares de Jesus,Geografia,0.0,0.0,0.0,,,Lynn Patterson
20,10,10,2021-08-03 10:07:29.480,Ana Júlia,Física,0.0,0.0,0.0,0.0,,Lynn Patterson
21,11,11,2021-07-29 16:45:59.410,Fernando Soares de Jesus,Geografia,0.5,0.5,1.0,2.0,"Na alternativa b), para o aproveitamento total era necessário pontuar a técnica da triangulação ou a necessidade de existirem no mínimo 3 satélites para inferência da localização.",Jacob Patrick
22,12,12,2021-08-02 18:15:24.927,Rafaela MTM C,Matemática,0.0,0.0,,0.0,"A) o uso das relações métricas não tava correto;
B) cuidado com o com as medidas do trapézio. A altura nesse caso eram os 75 m e as bases (B e b) tinham medidas diferentes entre si (senão, seria um retângulo, não um trapézio)",Jacob Patrick
23,13,13,2021-08-03 10:13:24.869,Ana Júlia,Física,0.8,0.5,0.0,1.3,"Oi Beatriz! Primeiramente, parabéns pela sua dedicação à Física A. Alguns comentários: no item b), como você bem falou no item a), entre os instantes 10 e 20 e 25 a 30, a velocidade é constante, então as velocidades finais e iniciais são iguais, e a aceleração é igual a zero. No item c), no eixo x temos o tempo, e não a posição. Você pode lembrar que a área abaixo do gráfico v x t é igual ao deslocamento. Bons estudos!",Jacob Patrick
24,14,14,2021-07-29 16:48:46.807,Fernando Soares de Jesus,Geografia,0.5,0.3,1.0,1.8,"Na alternativa b), era necessário pontuar a técnica da triangulação e explicar que a obtenção da localização de um objeto na Terra baseia-se no tempo de resposta entre receptor e satélite.",Edward Owens
25,15,15,2021-08-02 17:03:44.177,Rafaela MTM C,Matemática,0.0,0.0,,0.0,A) Esqueceu de considerar as ruas; equivocou-se nas medidas do trapézio.,Edward Owens
26,16,16,2021-08-03 20:23:09.189,Ana Júlia,Física,0.8,0.6,0.9,2.3,"Quase perfeita sua resposta, parabéns! O único detalhezinho é que a maior aceleração (em módulo) é entre os instantes 20 e 25, em que ele faz a = (0 - 15)/5 = -3 m/s². Pegadinha mesmo do exercício, por ser um valor negativo. Bons estudos!",Edward Owens
27,17,17,2021-07-29 16:51:06.857,Fernando Soares de Jesus,Geografia,0.5,0.0,1.0,1.5,"Na alternativa b), era necessário explicar o processo de trocas de sinais entre satélite e receptor para aproveitamento da pontuação. ",Daniel Rodriguez
28,18,18,2021-08-03 20:23:55.970,Ana Júlia,Física,0.0,0.0,0.0,0.0,,Daniel Rodriguez
29,19,19,2021-07-29 16:52:36.709,Fernando Soares de Jesus,Geografia,0.5,0.2,1.0,1.7,"Na alternativa b), era necessário explicar o processo de troca de sinais entre satélite e receptor, citando a técnica da triangulação.",William Walsh
30,20,20,2021-08-02 17:06:32.010,Rafaela MTM C,Matemática,0.5,0.0,,0.5,"Resposta correta na A, mas sem resolução",William Walsh
31,21,21,2021-08-03 20:25:19.724,Ana Júlia,Física,0.9,0.7,0.9,2.5,"Excelente, perfeita resposta! Parabéns!",William Walsh
32,22,22,2021-07-29 16:54:18.286,Fernando Soares de Jesus,Geografia,0.5,0.1,1.0,1.6,"Na alternativa b), era necessário explicar o processo de troca de sinais entre receptor e satélite, citando a técnica da triangulação.",Stacey Hughes
33,23,23,2021-08-02 15:51:18.888,Matheus Bateli Neumann,Matemática,1.5,1.0,,2.5,"Parabéns, Camylla! Mandou muito bem, excelente raciocínio!",Stacey Hughes
34,24,24,2021-08-03 20:35:06.488,Ana Júlia,Física,0.9,0.6,0.9,2.4,"Quase perfeita sua resposta. Única coisa foi a pegadinha, a maior aceleração EM MÓDULO foi entre 20 e 25 segundos, de 3 m/s², mesmo que ela seja negativa. Mas você foi excelente, parabéns pela dedicação!",Stacey Hughes
35,25,25,2021-07-29 16:54:36.192,Fernando Soares de Jesus,Geografia,0.0,0.0,0.0,0.0,,Tyler Lewis
36,26,26,2021-08-02 17:41:51.776,Rafaela MTM C,Matemática,0.0,0.0,,0.0,"A) Distância Mercado -> biblioteca incorreta e esqueceu de considerar a largura das ruas.
B) Calculou a área do triângulo, não do trapézio destacado.",Tyler Lewis
37,27,27,2021-08-03 20:39:00.700,Ana Júlia,Física,0.8,0.5,0.2,1.5,"Oi, Carolina! Você está indo por um bom caminho, já domina bem as equações. Cuidado só com a interpretação, entre os instantes 10 e 20 e também 25 a 30 segundos temos um MRU, com velocidade constante, como você bem disse. Então, a gente não tem aceleração nesses períodos, então a sua conta da aceleração tem que levar em conta só onde a velocidade não é constante. Se puder, vem na monitoria ou chama no zap pra gente conversar sobre essa questão :)",Tyler Lewis
38,28,28,2021-07-29 16:56:34.405,Fernando Soares de Jesus,Geografia,0.5,0.3,1.0,1.8,"Na alternativa b) era necessário explicar o processo de troca de sinais entre receptor e satélite, inclusive citando a técnica da triangulação e a obtenção das distâncias através do tempo de resposta.",Edgar Elliott
39,29,29,2021-08-02 17:43:52.219,Rafaela MTM C,Matemática,0.0,0.33,,0.33,"A resposta final da B está dentro da faixa de erro, mas não apresentou o desenvolvimento da questão.",Edgar Elliott
40,30,30,2021-08-03 20:40:32.094,Ana Júlia,Física,0.9,0.7,0.9,2.5,"Perfeito, parabéns pela dedicação!",Edgar Elliott
41,31,31,2021-07-29 16:58:22.866,Fernando Soares de Jesus,Geografia,0.5,0.7,1.0,2.2,"Na alternativa b), para aproveitamento completo, era necessário citar a técnica da triangulação ou a necessidade de pelo menos 3 satélites para obtenção da localização.",Timothy Thompson
42,32,32,2021-08-02 17:44:32.029,Rafaela MTM C,Matemática,0.0,0.0,,0.0,,Timothy Thompson
43,33,33,2021-08-03 20:44:00.911,Ana Júlia,Física,0.8,0.5,0.3,1.6,"Você está seguindo por um bom caminho, Emilly. Um pouquinho de cuidado na c): entre 0 e 10 segundos não temos um MRU, então não dá pra aplicar s = vt. Um jeito legal de resolver: calcular a área abaixo do gráfico da velocidade, ela é igual ao deslocamento. Bons estudos!",Timothy Thompson
44,34,34,2021-07-29 16:59:27.569,Fernando Soares de Jesus,Geografia,0.5,0.0,1.0,1.5,,David Bridges
45,35,35,2021-08-03 20:47:45.023,Ana Júlia,Física,0.9,0.2,0.0,1.1,"Você está seguindo por um bom caminho, Ezequiel! Deu pra perceber que você sabe interpretar bem o gráfico, identificando todos os movimentos. Para te ajudar nas contas, é só lembrar que a = delta v/delta t e também que o deslocamento pode ser calculado pela área abaixo do gráfico da velocidade pelo tempo. Se quiser, venha na monitoria ou mande uma mensagem pra gente conversar sobre essa questão. Bons estudos!",David Bridges
46,36,36,2021-07-29 17:01:14.418,Fernando Soares de Jesus,Geografia,0.5,0.1,1.0,1.6,"Na alternativa b), era necessário explicar o processo de trocas de sinais entre satélite e receptor, citando inclusive a técnica da triangulação e a obtenção da localização a partir do tempo de resposta.",Brittany Daniels
47,37,37,2021-08-03 20:48:29.184,Ana Júlia,Física,0.0,0.0,0.0,0.0,,Brittany Daniels
48,43,43,2021-07-29 17:06:01.273,Fernando Soares de Jesus,Geografia,0.5,0.4,0.5,1.4,"Na alternativa b), para aproveitamento completo era necessário citar a técnica da triangulação ou a necessidade de pelo menos 3 satélites para obtenção da localização.",Richard Watson
49,44,44,2021-08-02 16:09:24.067,Matheus Bateli Neumann,Matemática,0.0,0.0,,0.0,,Richard Watson
50,45,45,2021-08-03 20:55:32.043,Ana Júlia,Física,0.6,0.2,,,"Oi, Haylla! Você está no caminho, apenas algumas coisinhas: para calcular o item b), lembrar que a aceleração = delta v/delta t. E para te ajudar na c), é só lembrar que o deslocamento é dado pela área abaixo do gráfico da velocidade pelo tempo. Se quiser, venha na monitoria ou mande uma mensagem pra gente ver essa questão. Bons estudos!",Richard Watson
51,38,38,2021-07-29 17:02:27.541,Fernando Soares de Jesus,Geografia,0.5,1.0,1.0,2.5,,Darren White
52,39,39,2021-08-03 20:50:56.787,Ana Júlia,Física,0.8,0.5,0.0,,"Oi, Giovanna, você está indo por um bom caminho! Para te ajudar na c), é só lembrar que o deslocamento é dado pela área abaixo do gráfico da velocidade pelo tempo. Se quiser, venha na monitoria ou mande uma mensagem pra gente ver essa questão. Bons estudos!",Darren White
53,46,46,2021-07-29 17:07:16.748,Fernando Soares de Jesus,Geografia,0.5,0.8,1.0,2.3,"Na alternativa b), para aproveitamento completo era necessário citar a técnica da triangulação ou a necessidade de pelo menos 3 satélites para obtenção da localização.",Deanna Vasquez
54,47,47,2021-08-02 16:09:57.293,Matheus Bateli Neumann,Matemática,0.0,0.0,,0.0,,Deanna Vasquez
55,48,48,2021-08-03 20:58:57.456,Ana Júlia,Física,0.9,0.7,0.7,2.3,"Quase perfeita a sua resposta, Heytor. Um detalhezinho: sua aceleração estava correta, 1,5 m/s², mas para calcular o deslocamento, utilizamos Torricelli: v² = vo² + 2a(delta s). Parabéns pela dedicação e bons estudos!",Deanna Vasquez
56,64,64,2021-07-29 17:13:39.178,Fernando Soares de Jesus,Geografia,0.5,0.0,0.2,0.7,"Na alternativa b), era necessário explicar o processo de trocas de sinais entre satélite e receptor, citando inclusive a técnica da triangulação e a obtenção da localização a partir do tempo de resposta; Na alternativa c), era necessário explicar especificamente qual estudo do espaço.",Philip Barton
57,65,65,2021-08-02 16:23:53.125,Matheus Bateli Neumann,Matemática,0.0,0.0,,0.0,,Philip Barton
58,66,66,2021-08-03 21:15:29.087,Ana Júlia,Física,0.7,0.5,0.3,1.5,"Oi, Leonardo, você está indo por um bom caminho. Cuidado só com a c), não entendi muito bem como você chegou nas velocidades médias. Um jeito bacana de resolver é lembrar que o deslocamento é dado pela área abaixo do gráfico da velocidade pelo tempo. Se quiser, venha na monitoria ou mande uma mensagem pra gente ver essa questão. Bons estudos!",Philip Barton
59,40,40,2021-07-29 17:04:29.104,Fernando Soares de Jesus,Geografia,0.5,0.6,1.0,2.1,"Na alternativa b), para aproveitamento completo era necessário citar a técnica da triangulação ou a necessidade de pelo menos 3 satélites para obtenção da localização.",Tammy Williams
60,41,41,2021-08-02 16:06:17.240,Matheus Bateli Neumann,Matemática,1.0,1.0,,2.0,"Excelente raciocínio, Guilherme! O unico erro que aconteceu é um clássico do pessoal de exatas, você somou errado ali na parte final da letra a). Contudo, tenha em mente que é um simulado, aqui é para treinar mesmo, parabéns pelo desempenho!",Tammy Williams
61,42,42,2021-08-03 20:52:51.062,Ana Júlia,Física,0.9,0.7,0.9,2.5,"Perfeito, parabéns pela dedicação!",Tammy Williams
62,73,73,2021-07-29 17:24:28.272,Fernando Soares de Jesus,Geografia,0.5,0.2,0.0,0.7,"Na alternativa b), era necessário explicar o processo de trocas de sinais entre satélite e receptor, citando inclusive a técnica da triangulação e a obtenção da localização a partir do tempo de resposta.",Donald Thompson
63,74,74,2021-08-02 16:31:19.198,Matheus Bateli Neumann,Matemática,0.0,0.0,,0.0,,Donald Thompson
64,75,75,2021-08-03 21:21:29.359,Ana Júlia,Física,0.1,0.2,0.0,0.3,"Oi, Maria, você está no caminho mas não entendi algumas coisas da sua resolução. Se quiser, venha na monitoria ou mande uma mensagem pra gente ver essa questão. Bons estudos!",Donald Thompson
65,85,85,2021-07-30 16:41:59.465,Fernando Soares de Jesus,Geografia,0.0,0.0,1.0,1.0,"No item a), era necessário citar uma constelação de satélites, como o GPS, GLONASS ou BeiDou. No item b), era necessário explicar o processo de trocas de sinais entre satélite e receptor (celular, computador etc.)",Lisa Chen
66,86,86,2021-08-02 16:47:25.298,Matheus Bateli Neumann,Matemática,0.0,0.0,,0.0,,Lisa Chen
67,87,87,2021-08-04 09:35:44.397,Ana Júlia,Física,0.8,0.6,0.2,1.6,"Oi, Mariana, você está em um bom caminho. Na c), o deslocamento pode ser calculado pela área abaixo do gráfico, mas é necessário usar a área do trapézio: (B + b).h/2. Se quiser, venha na monitoria ou mande uma mensagem pra gente ver essa questão. Bons estudos!",Lisa Chen
