,Unnamed: 0,Grade criterion 1,Comments criterion 1,Grade criterion 2,Comments criterion 2,Grade criterion 3,Comments criterion 3,Grade criterion 4,Comments criterion 4,Final grade,Overall comment,student_name
10,10,2.0,Texto adequado ao tema e gênero textual propostos pela prova.,2.5,Muito bom!,2.0,"Parabéns, as informações estão bem organizadas e o texto coeso. Ressalto apenas o uso da palavra ""onde"", sugiro que pesquise sobre seu emprego correto :)",2.5,Parabéns!,9.0,"Oii, Beatriz! Seu texto está muito bom, continue praticando :) Parabéns!",Jacob Patrick
11,11,2.0,Ótimo!,2.5,Muito bom! Atenção aos pequenos erros de uso da vírgula. ,2.5,Muito bom! Texto organizado e coeso.,2.0,Boa explicação e apresentação de argumentos! O repertório sociocultural foi usado de maneira satisfatória para defesa da tese inicial! Conclusão adequada aos moldes do texto UFSC.,9.0,"Parabéns, Brenda! Seu texto está quase atingindo a nota máxima. Se atente ao uso correto da vírgula em alguns casos específicos e faça uma boa revisão do texto :) Continue assim!",Edward Owens
12,12,2.0,"Sua redação está dentro do tema proposto, mas poderia estar mais adequada ao gênero dissertativo-argumentativo! Revise a estrutura :) (Introdução / desenvolvimento / conclusão - e os elementos fundamentais de cada uma delas).",1.5,Atenção aos erros ortográficos e de concordância verbal! Revise também as regras de pontuação. Uma boa dica é elaborar frases mais curtas :),1.5,"Seu texto apresenta vários conectivos, muito bom. Entretanto, é bastante importante que nos atentemos ao significado de cada um deles, já que o uso equivocado pode trazer prejuízo de mensagem do texto. 

Exemplo: ""Muitos adultos, adolescentes e crianças não tem condições suficientes para esse ensino, a crise econômica no brasil fez com que muitas famílias perdessem seus empregos e assim, contudo, dão preferencia para outros meios essenciais para sobreviver."" - SUGESTÃO DE REESCRITA: ""Muitos adultos, adolescentes e crianças não tem condições suficientes para esse ensino. A crise econômica no Brasil fez com que muitas famílias perdessem seus empregos, fazendo com que a preferência de gastos fosse direcionada para outros meios essenciais de sobrevivência.""",1.0,Traga repertórios socioculturais que corroborem as ideias iniciais da sua tese :),6.0,"Oii, Bruna! Gostei bastante das ideias elaboradas no seu texto, parabéns. Para que fique ainda melhor, sugiro que as informações estejam melhor distribuídas nos parágrafos. Por isso, revise a estrutura fundamental do gênero dissertativo- argumentativo. 
Uma outra dica é analisar melhor o texto antes de enviar para que alguns erros gramaticais sejam corrigidos. Estude também o emprego correto dos conectivos.
Vale ressaltar que, na redação modelo UFSC, não é necessário apresentar proposta de intervenção no parágrafo de conclusão, basta retomar as ideias principais do texto.
Você está no caminho certo, continue praticando!! :)",Daniel Rodriguez
13,13,2.0,Muito bom!,2.0,"Seu texto está bem escrito e apresenta poucos desvios ortográficos. Contudo, se atente ao uso correto da vírgula e revise algumas palavras que podem ter sido resultado dos erros de digitação :)",2.0,Redação coerente e bem organizada.,2.0,Busque afirmas sua tese a partir de repertórios socioculturais :) Isso deixará seu argumento mais consistente e desenvolvido.,7.0,"Oii, Caio! Parabéns pela sua redação, você abordou pontos muito relevantes. Para que fique ainda melhor, faça uso das vírgulas com mais atenção e busque justificar seus argumentos por meio de conhecimentos gerais (repertório sociocultural). Você está indo muito bem, continue praticando.",William Walsh
14,14,2.0,Ótimo!,2.5,Muito bom!!,2.5,Excelente!!,2.5,Muito bom!!,10.0,"Oii, Camylla! Parabéns, sua redação está impecável e muito adequada aos moldes da UFSC!! Excelente! :)",Stacey Hughes
15,15,2.0,"Texto adequado ao tema, mas poderia estar mais estruturado conforme o gênero dissertativo-argumentativo! Uma dica que pode te ajudar nesse sentido é revisar essa estrutura textual e seus elementos fundamentais :)",2.0,"Texto com poucos erros ortográficos, mas vale uma breve revisão :)",1.5,"Bons conectivos! Para que esse critério seja melhor avaliado, é interessante que você reorganize algumas informações para que de acordo com a estrutura do gênero escolhido. Exemplo: não adicione novas informações no parágrafo de conclusão. O dado estatístico do CETIC poderia estar na argumentação como repertório em defesa de sua tese.",1.5,"Bons repertórios, basta desenvolvê-los com o objetivo de justificar sua tese inicial e basear melhor seus argumentos.",7.0,"Oii, Carolina! Gostei bastante das ideias do seu texto e da escolha dos repertórios. Para uma próxima redação, busque delimitar melhor os parágrafos de introdução, desenvolvimento e conclusão, e os elementos fundamentais necessários para elaboração de cada um deles. Além disso, desenvolva mais seus argumentos, são ótimos :) Continue praticando!!",Tyler Lewis
16,16,2.0,Muito bom,2.5,Texto sem desvios ortográficos relevantes! :) Muito bom.,2.5,Ótimo uso dos mecanismos linguísticos e organização textual.,2.5,Excelente!,10.0,"Oii, Diogo!! Sua redação está perfeita, parabéns!! Continue praticando, você está no caminho certo!!",Edgar Elliott
17,17,0.0, - - -,0.0,- - - ,0.0,- - -,0.0,- - -,0.0,"Oii, Emilly! Que pena que você não conseguiu fazer a redação, espero que estejas bem!! Mas não se preocupe, teremos outras muitas oportunidades de elaborar redações e treinar a escrita! Tenho certeza que você se sairá muito bem!! Abraço!! :)",Timothy Thompson
18,18,2.0,Muito bom.,2.0,Texto sem erros ortográficos relevantes.,2.0,Boa organização textual e uso de mecanismos linguísticos.,2.0,"Boa argumentação. Para que fique ainda melhor, elabore argumentos de sua autoria, além daqueles expostos no texto de apoio, isso trará um caráter informativo mais forte à redação :)",8.0,"Oii, Ezequiel!! Parabéns pelo seu texto, está muito bom! Para que fique ainda melhor, busque colocar em prática os apontamentos colocados em cada critério! :) Continue praticando, você está indo muito bem!",David Bridges
19,19,2.0,Texto adequado ao tema e gênero propostos.,1.0,"Seu texto não apresenta graves erros ortográficos, mas seria interessante revisar o uso correto da vírgula! Uma dica para melhorar esse aspecto é trabalhar na elaboração de frases mais curtas (use mais pontos finais).",2.0,"Suas ideias são bastante interessantes, mas parecem estar um pouco amontoadas. Tome cuidado com a organização das informações. A construção de frases mais curtas também pode te ajudar nesse critério.",2.0,"Ótimos argumentos, mas poderiam estar mais desenvolvidos e justificados pelo repertório sociocultural. Uma boa dica é trazer já no início um contexto/repertório para a introdução. Quando você fala sobre a sociedade como um organismo vivo, você está falando da teoria de Émile Durkheim, poderia ter explicitado :)",7.0,"Oii, Franciele!! Seu texto apresenta boas ideias, parabéns. Minha sugestão é que você reescreva essa redação a partir dos apontamentos feitos em cada um dos critérios! Acredito que verás uma boa evolução. Se atente principalmente ao uso de pontos finais, evite frases longas e busque utilizar seus repertórios. Ressalvo também que, para o modelo UFSC não é preciso elaborar proposta de intervenção no parágrafo de conclusão do texto, basta retomar a ideia principal. Continue praticando, você está indo muito bem.",Brittany Daniels
20,20,1.0,Adequado ao tema mas poderia estar mais estruturada de acordo com o gênero textual dissertativo-argumentativo.,2.0,Poucos desvios ortográficos.,2.0,Seu texto tem coesão por seguir a linha de raciocínio apresentada na introdução.,1.0,"Seus argumentos são bons e relevantes, mas muito pouco desenvolvidos. A contextualização da Guerra Fria ficou ótima, poderia ter mais repertórios como esse para completar o texto e justificar sua tese.",6.0,"Oii Haylla! Sua redação traz boas ideias, mas estão muito pouco desenvolvidas! Busque apresentar melhor o seu repertório e discorra sobre as consequências da problemática discutida na sociedade. Uma dica que pode te ajudar é a revisão da estrutura do gênero textual dissertativo-argumentativo e os elementos fundamentais que a compõem. Continue praticando, você está indo muito bem! :)",Richard Watson
21,21,2.0,Texto adequado ao tema e ao gênero proposto.,2.0,Texto sem graves erros gramaticais. Atenção ao usar as vírgulas.,2.0,Texto organizado e coeso.,2.0,"Sues argumentos são ótimos, mas poderia ter explorado um pouco mais os repertórios socioculturais. Busque elaborar repertórios de autoria própria, além dos textos motivadores :)",8.0,"Oii, Giovanna!! Parabéns pela sua redação, traz ótimas reflexões. Busque, da próxima vez, se apropriar de repertórios mais autorais, fará toda a diferença! Continue praticando, você está indo muito bem.",Darren White
22,22,2.0,Texto adequado ao molde proposto pela prova.,2.0,"Texto bem escrito, mas tome cuidado com o uso correto das vírgulas.",1.5,Boa coerência e organização.,1.5,"Seu texto traz bons apontamentos e discorre sobre as consequências da problemática na sociedade, mas não apresenta repertórios que justifiquem e embasem seus argumentos. Além disso, sempre que um dado estatístico for exposto, é de suma importância identificar a fonte do qual foi retirado.",7.0,"Oii, Heytor! Gostei bastante das ideias apresentadas no seu texto, parabéns! Para que fique ainda melhor, busque embasar seus argumentos pelos repertórios socioculturais, isso trará originalidade e contextualização à redação. Continue praticando, você está indo bem!! :)",Deanna Vasquez
23,23,2.0,Redação adequada ao tema e ao gênero propostos.,1.5,Atenção aos desvios de acento e pontuação. Uma boa revisão no texto já será suficiente para corrigir alguns erros ortográficos. (Ex: pais  --> país),1.5,"Suas ideias são ótimas mas poderiam estar um pouco mais organizadas. Os dados estatísticos, por exemplo, poderiam estar no parágrafo de desenvolvimento ao invés da introdução, isso traria mais coesão ao argumento. Busque também elaborar dois parágrafos voltados para a argumentação!",2.0,"Ótimo repertório sociocultural, parabéns.",7.0,"Oii, Leonardo! Parabéns pela sua redação, apresenta pontos muito interessantes. Para que fique ainda melhor, busque elaborar dois parágrafos de desenvolvimento, organizar melhor as informações apresentadas e ter um cuidado maior com a escrita (pontuação e acentuação). Você está indo cada vez melhor, continue praticando!",Philip Barton
24,24,2.0,Muito bom,2.0,"Texto bem escrito. Tome cuidado com a repetição de palavras, busque sinônimos!",2.5,Ótimo,2.5,Ótima escolhas de repertórios socioculturais para embasar a argumentação!,9.0,"Oii,, Guilherme! Parabéns, seu texto está ótimo! Relembro aqui que cada vestibular possui sua especificidade. Para  o molde da UFSC, o texto dissertativo não precisa apresentar proposta de intervenção na conclusão, basta retomar as ideias principais do texto. Apesar da sua estar bem feita, é dispensável nesse caso, diferentemente do ENEM, por exemplo. Continue praticando, você está quase atingindo a nota máxima :)",Tammy Williams
25,25,2.0,Muito bom,2.0,"Texto bem escrito. Tenha cuidado ao elaborar frases muito longas, prefira o uso de pontos finais.",2.0,Texto coeso e organizado :),2.0,Bons repertórios e argumentos.,8.0,"Oii, Maria Alice! Parabéns pela sua redação, está muito boa! Busque escrever de maneira um pouco mais objetiva (frases mais curtas) e desfrutar de mais conectivos. Você está indo muito bem e quase atingindo a nota máxima, continue praticando! :)",Donald Thompson
26,26,2.0,Texto adequado aos moldes de tema e gênero propostos pela prova.,2.0,Texto bem escrito. Atenção ao uso das vírgulas e aos erros de digitação.,1.5,"Texto organizado, mas pouco desenvolvido.",1.5,"Seu texto apresenta ótimos argumentos, mas que não estão bem desenvolvidos. Seria interessante apresentar repertórios socioculturais que trouxessem embasamento para sua tese e discorrer sobre as consequências da problemática na sociedade. Além disso, apesar de poder usar as informações do texto de apoio, aposte em repertórios mais autorais.",7.0,"Oii,  Mariana! Seu texto traz uma discussão muito relevante, parabéns! Poderia estar um pouco mais desenvolvido e apresentar mais repertórios socioculturais, assim como foi feito na introdução do texto! Você está indo bem, continue praticando!! :)",Lisa Chen
